=== Predictions on test set ===

inst#,    actual, predicted, error, probability distribution
     1          ?    3:takut      +   0.122  0.002 *0.601  0.129  0.112  0.03   0.003
     2          ?    3:takut      +   0      0     *1      0      0      0      0    
     3          ?    5:sedih      +   0      0      0.205  0     *0.795  0      0    
     4          ?    3:takut      +   0      0     *1      0      0      0      0    
     5          ?    3:takut      +   0.001  0     *0.985  0      0      0.014  0    
     6          ?    3:takut      +   0      0     *1      0      0      0      0    
     7          ?    3:takut      +   0      0     *1      0      0      0      0    
     8          ?    3:takut      +   0.175  0     *0.825  0      0      0      0    
     9          ?    1:marah      +  *1      0      0      0      0      0      0    
    10          ?    3:takut      +   0.005  0     *0.993  0      0.002  0      0    
    11          ?    3:takut      +   0      0     *1      0      0      0      0    
    12          ?    3:takut      +   0      0     *1      0      0      0      0    
    13          ?    6:kaget      +   0      0      0      0      0     *1      0    
    14          ?    3:takut      +   0.02   0.313 *0.606  0.003  0.004  0.052  0.003
    15          ?    3:takut      +   0      0     *1      0      0      0      0    
    16          ?    1:marah      +  *1      0      0      0      0      0      0    
    17          ?    1:marah      +  *0.981  0      0.004  0      0      0.015  0    
    18          ?   7:netral      +   0.196  0.016  0.155  0.06   0.182  0.021 *0.37 
    19          ?    1:marah      +  *1      0      0      0      0      0      0    
    20          ?    6:kaget      +   0      0      0      0      0     *1      0    
    21          ?    6:kaget      +   0.002  0      0      0      0     *0.998  0    
    22          ?    3:takut      +   0      0     *0.976  0      0      0.024  0    
    23          ?    1:marah      +  *1      0      0      0      0      0      0    
    24          ?    3:takut      +   0      0     *1      0      0      0      0    
    25          ?    1:marah      +  *1      0      0      0      0      0      0    
    26          ?    3:takut      +   0      0     *1      0      0      0      0    
    27          ?    3:takut      +   0      0     *1      0      0      0      0    
    28          ?    3:takut      +   0      0     *1      0      0      0      0    
    29          ?    2:jijik      +   0     *1      0      0      0      0      0    
    30          ?    3:takut      +   0.002  0     *0.962  0      0.001  0      0.035
